mode,physical_gpu,phase,seconds,share_percent
fp8-overlap,5,pointwise,0.078797888,2.365902927727817
fp8-overlap,5,attention_other,0.000128192,0.003848958846603659
fp8-overlap,5,communication_other,0.003445951,0.10346451874073831
fp8-overlap,5,layout_copy,0.17145276,5.147861156520017
fp8-overlap,5,memory_ops,0.012202237,0.366371599237897
fp8-overlap,5,other,0.18540110899999998,5.566659687466295
fp8-overlap,5,concurrent_mixed,0.035768555,1.073949202738701
fp8-overlap,5,idle,0.5500497830000001,16.51521918957714
fp8-overlap,5,sage_quantization,0.052044361000000004,1.5626295220199737
fp8-overlap,2,linear_gemm,1.309944428,39.331020615247205
fp8-overlap,2,vsa,0.659124987,19.790197124088646
fp8-overlap,2,rdma_barrier,0.284375414,8.538358598601146
fp8-overlap,2,rdma_other,0.0,0.0
fp8-overlap,2,pointwise,0.078716539,2.363460427780766
fp8-overlap,2,attention_other,0.00013519999999999998,0.0040593737211434
fp8-overlap,2,communication_other,0.0026281,0.07890858044775866
fp8-overlap,2,layout_copy,0.174761168,5.247195953073423
fp8-overlap,2,memory_ops,0.012469234999999999,0.37438820178817694
fp8-overlap,2,other,0.188681657,5.665157988813555
fp8-overlap,2,concurrent_mixed,0.032386834,0.9724131867650413
fp8-overlap,2,idle,0.535085685,16.065922842078514
fp8-overlap,2,sage_quantization,0.052253773,1.5689171075946193
fp8-overlap,6,linear_gemm,1.273856794,38.247491080351935
fp8-overlap,6,vsa,0.6427559,19.29871604711446
fp8-overlap,6,rdma_barrier,0.327815806,9.842654350975168
fp8-overlap,6,rdma_other,0.0,0.0
fp8-overlap,6,pointwise,0.078863892,2.367884694762509
fp8-overlap,6,attention_other,0.00012742500000000002,0.0038259297072240957
fp8-overlap,6,communication_other,0.003387394,0.10170634753519842
fp8-overlap,6,layout_copy,0.169424475,5.0869619935911015
fp8-overlap,6,memory_ops,0.012054978000000001,0.36195015460178864
fp8-overlap,6,other,0.184235076,5.531649600793322
fp8-overlap,6,concurrent_mixed,0.038985771,1.1705459637271778
fp8-overlap,6,idle,0.547062756,16.425533842623402
fp8-overlap,6,sage_quantization,0.051992753,1.5610799942167135
fp8-overlap,3,linear_gemm,1.3378257329999999,40.16815550302964
fp8-overlap,3,vsa,0.6627314169999999,19.89848001735154
fp8-overlap,3,rdma_barrier,0.247991701,7.44593930548115
fp8-overlap,3,rdma_other,0.0,0.0
fp8-overlap,3,pointwise,0.078716013,2.363444634655194
fp8-overlap,3,attention_other,0.00013503999999999998,0.004054569728574
fp8-overlap,3,communication_other,0.00231427,0.0694858492724152
fp8-overlap,3,layout_copy,0.177234619,5.3214612044782745
fp8-overlap,3,memory_ops,0.012350972,0.37083736070545814
fp8-overlap,3,other,0.190342371,5.715020849537926
fp8-overlap,3,concurrent_mixed,0.026316461,0.7901505193557334
fp8-overlap,3,idle,0.5423474340000001,16.283956518558835
fp8-overlap,3,sage_quantization,0.052256989,1.5690136678452642
fp8-overlap,7,linear_gemm,1.4309929179999998,42.96549590585438
fp8-overlap,7,vsa,0.801354762,24.06063951313553
fp8-overlap,7,rdma_barrier,0.013003647,0.39043389726941724
fp8-overlap,7,rdma_other,0.0,0.0
fp8-overlap,7,pointwise,0.079251713,2.3795290022766182
fp8-overlap,7,attention_other,0.00016054399999999999,0.004820326144136435
fp8-overlap,7,communication_other,0.001522208,0.045704224506762224
fp8-overlap,7,layout_copy,0.18201574099999998,5.465014170487007
fp8-overlap,7,memory_ops,0.013516416,0.4058297626807854
fp8-overlap,7,other,0.20420396400000002,6.131214535613261
fp8-overlap,7,concurrent_mixed,0.031034335,0.9318044671017814
fp8-overlap,7,idle,0.51945231,15.596531483736944
fp8-overlap,7,sage_quantization,0.054054462,1.6229827111933766
